"","het","NumComps","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"M10",0.868,31,-1.35667996974142,0.599190284907634,-2.5023116654025,1.99508585391091,-0.46655464707328,1.62852791966787,-0.949475208881686,0.880404188867943,-0.325509883362725,0.778862567998518
"M12",0.992,33,-2.10811749283122,0.25877603052836,-1.21388557408377,0.700514801986725,0.121291186728481,-0.603333122227298,-0.409310143674067,0.435452253948482,0.666262336159424,-0.887550035456706
"M14",0.8911,12,-1.83436697226785,-1.25858107966237,0.0845481736831466,-1.97163561179749,-0.530881406661872,2.356157644575,0.773499087356726,-2.81648343677822,0.0406888969736375,0.0954256080209557
"M15",0.961,7,3.50406046115918,-0.946130188506342,-1.04552966264544,0.510912712154233,0.468536381940578,-0.276896821215584,1.55767263737001,0.483156899567,0.482974572154168,-0.0315618050892896
"M16",0.9485,30,-3.20063178985635,0.151186042172511,-0.0411762612895224,-2.51784440197545,0.949679717598002,-1.49817319176196,0.894466835719514,-0.852216438093036,0.412725222185294,0.0202130948822082
"M17",0.9801,13,-2.47755815234029,-0.824002256505365,-3.02177866747966,-1.09359979547675,0.859696752269936,2.13199137464328,1.70513909134111,-0.0842801611922807,0.99186553228578,-0.0724371094114983
"M18",1.0513,23,-1.73908706728692,-2.2932024676278,1.23620969004286,0.207581608901222,-0.126020130109777,-1.06105022351393,0.0155931188146687,-0.776819044823765,0.477402048316642,-1.00993323822643
"M19",0.93,72,-0.283749603199291,1.64244360059764,1.15753096197245,1.48923403949577,-2.24098448296834,0.789562606667238,0.697222418113577,-0.199530918004469,0.238765707496476,0.556145310733051
"M2",1.1624,42,1.16188132440895,0.694354784764013,1.46796212211345,-3.25253006472373,-0.443979993947497,-0.715742424512126,0.263748998862364,2.22342688643081,0.0553379642771487,0.627619971010119
"M20",1.1066,10,-2.00380818104169,-1.46548946619715,-0.566444727507212,1.21473002734574,0.231112413191751,0.747925856331568,1.38666036496141,-0.497377633542305,0.623169225096085,0.103629766698923
"M21",0.8589,28,-2.50865005673111,-0.934658967868546,-0.478215257839838,1.02373501478084,0.476453173329453,0.301005806585174,0.155505294193273,1.06492702729741,0.319976953676243,0.440570038298908
"M23",0.9885,57,-0.775877295054621,3.1250894075768,2.14203775328326,-2.47116891437923,1.08071372802257,-1.54222561870044,1.51139407548404,0.864286776454948,0.150925119224859,0.257057974322866
"M24",1.054,64,-1.16145114574208,1.27313905401663,1.7251566723847,-0.799313539605678,-2.05810628966879,1.38923530217385,0.381900650951747,-0.0818878178358904,0.661464834361104,0.458409156486494
"M25",0.9389,21,-2.0861884367968,-1.22386271983831,-0.57017190125069,1.15485458613015,-0.124744593006193,-0.394028355807299,0.193560033516002,-0.986237042109608,-2.02926684424708,0.394524077797885
"M26",0.9485,24,2.71322491942904,-0.803933576555975,-0.34064122530478,1.12753450450734,-0.494280276608499,-0.578641832055998,0.693813683677568,0.190930128962181,0.493131587906369,0.134807844644296
"M27",1.023,26,2.90215475099261,-0.948332474402625,-0.222121502293818,-0.667378302022936,0.340080617182224,0.405738635806624,-0.231471630074647,0.0914908743426798,0.937455195014699,0.772460478999507
"M28",0.9768,42,3.28452190574313,-0.505139706681867,-0.970874220335993,0.0789253646127333,-0.446129347727541,-0.150968638495599,0.757078199230807,0.550663813261842,0.55587972871698,0.231932972378868
"M29",1.085,73,3.30410472132083,0.108290823908948,-0.175975199390526,0.33882982688854,-1.22153283864105,-0.0356729501296891,0.641877558905697,0.0552557474469482,0.349119078256881,0.473259277613904
"M3",1.116,14,2.38861783730042,-1.54017963906122,-0.285336428810646,-0.61159670370376,0.20229879375028,-1.71545732502866,0.758221435033918,0.971477115441706,0.669059472483445,-1.51667642937
"M30",1.0194,40,-2.57902446385074,1.14003312734848,-2.66921547995136,0.314805080834578,1.1866782469038,-0.265122059157349,-1.48061799274894,-0.403516295047053,-0.686379152294612,0.623595886957468
"M31",0.9519,56,-2.83429037375864,0.450121930735685,-0.714539075412615,-0.909743530181221,0.185689119552503,-1.48802043457564,-1.89688458738479,-0.503768248928844,0.873899391764163,-0.734657900441893
"M33",1.023,42,-1.25634316535332,1.07513094126862,1.02796289164665,0.334253353423173,-2.62986252613168,0.52419441270932,0.841551419553259,-0.665091790342653,0.334235729755162,1.75693992852279
"M35",0.868,32,-2.32690212381352,-0.344188110430818,1.09924212100316,1.57055920784871,1.73140925143068,-0.36981888828184,-0.87092082545769,-0.126026758457579,-0.519272342945954,-0.401895114001884
"M36",1.1429,82,-1.2849736482027,1.75076630906656,-2.75966744157345,0.217696890060173,-0.991437468492923,3.02065790312651,-1.15842071147739,2.07466130849232,0.486997593736918,-0.699072463335381
"M37",1.023,35,2.87816891078771,-0.938121850885531,-0.104208994750084,-1.38839693513539,-0.170291764212362,0.105613917365763,-0.940720436389307,-0.658903752332322,0.791536983490459,0.624796470138721
"M38",1.023,38,-2.1395320479901,-1.87308645911303,-0.183453910525539,-1.15748189702724,-1.5443869835994,-0.811078898056136,-0.215501609910485,0.39595461991945,0.144605390018005,1.00325552662212
"M39",1.0045,48,-3.01997903090361,0.937735108362191,-2.02370622257483,-0.79727207858239,0.632669340512097,-0.833611577967441,-0.974902767291677,0.170999359631555,0.356904837683325,0.328010049194684
"M4",1.023,13,3.04717805349629,-0.196537910766765,-0.829400165933628,1.53526429500398,0.226421870085697,-0.548797911815537,1.01463924300215,-0.652660206726906,-1.22125462756021,0.509135693399827
"M40",0.9327,53,2.25075629303215,1.15013350095316,-0.892931640054003,-1.14813937780361,-1.0126544423872,1.42535877346015,0.255678779574398,0.44168477978,-1.47192235493793,-3.57864477340281
"M41",1.023,40,2.63438671407613,0.116159693897138,-0.554233551492772,-1.12849711333128,1.07021866229496,-0.334060932326556,-1.09674198738076,-1.39324904874962,0.996757945883668,0.62099119413396
"M43",0.7746,25,1.27147978033647,-0.205512378254123,1.57931418425328,2.24087509638142,-1.22935667244413,-0.0444871310637954,-0.934543896303394,-0.889800057116503,0.617881850803077,-0.451901531045637
"M44",1.023,26,1.46536531310095,0.753504912297079,-2.06334686548486,1.79619317055442,1.72932098944926,-0.628648182502319,-1.36742947916232,-1.23372566099648,-1.05090163903572,0.723230652935814
"M45",0.9238,61,0.28983565483815,-0.275164542667049,-1.1057707946899,-2.3444949014171,-1.42320721545125,0.607457334987827,-2.01251948565111,-0.760053431763261,0.529011639465828,0.500866553039328
"M46",1.1795,72,0.94717709297743,3.28032833255081,0.410762872388325,-1.66260282466734,-1.6741712609975,2.49176701729893,0.428703351390692,-0.464274439235586,-0.560717839857209,-3.36777280964246
"M47",0.9136,12,0.163992461777284,-0.282778047218383,3.38583683478856,1.62842431382619,0.37043622567107,1.34167237189945,-1.24545889869769,-1.82355427534189,0.165830336112882,-0.534376442552263
"M48",1.1428,45,1.15609877342631,3.05850243000407,0.327274120814371,0.411474913227572,1.17377577159813,-0.61505744390696,0.184492351610515,-1.59226189626729,-0.257338549872221,-0.0134646780273714
"M5",0.93,27,2.90977978216093,-0.302531704421219,-0.533746268302052,1.37221938090498,-0.713550469349937,-0.125854243096715,0.0725344313034485,0.466225557866012,0.549977334730021,0.077325063603422
"M6",1.085,33,-1.04962741654322,2.63855712813375,3.500141352379,-0.585680337581587,2.76432148053977,-0.0466902311975802,0.966314530285343,-0.0342609427962584,-0.1361345639085,0.0830453146670311
"M7",0.8827,15,-2.11770755344203,-1.10654880174359,-0.615836313693335,-2.20489937220551,0.951886537790537,-0.926793036467244,1.65019830991016,-0.928702627510862,0.815341769852074,-1.34277143678101
"M8",0.899,9,-0.703350603784634,-2.87036933642875,-1.88627561351974,-1.5190258078282,1.28737941610885,0.755862887726588,0.718411994458549,-0.396001134232319,-1.6065338726717,-0.000537323825175776
"M9",0.9557,41,2.4696222108326,-0.568974365224444,1.05184425369455,-0.565680203389606,-0.850278280431732,-0.506093805913286,-0.926736163218898,0.70446164112475,0.404312197096344,0.282132542108974
"P10",0.9837,20,-1.72751688341756,0.550632137750995,-0.575029223057729,2.82820536261578,1.51621891808906,-0.135483850533716,-0.0890435367795532,-0.231203558717568,0.691332328175624,-0.578369073289354
"P12",0.9851,43,-2.80062305761586,-1.21109156066559,0.265934538018125,0.605228192262081,-0.715568343417044,-0.689339609167138,-0.367411047993597,1.90107502056909,0.460224669794765,-0.371878435023823
"P14",0.9876,10,-1.48083196064291,-0.179930375445545,-2.63260250302835,2.0303111655402,1.37123815561155,1.19341416976829,1.3079172349375,1.24774945356672,0.824072536793618,0.238656195286679
"P15",0.9557,21,2.30896448827996,-0.711498807215143,3.33174380336414,-0.0314399381193672,1.34517615127836,1.29332758624569,-1.09491679426736,-0.780366918662121,0.301841940889932,0.267058407490946
"P16",0.8787,87,-1.11868833128206,3.24886862643097,0.637135016703027,0.524500451717331,-0.769071841649676,-1.33654438678939,0.52888595227936,-0.793197339088527,0.114823577705831,0.313291280043661
"P17",1.085,17,-2.49587936555749,-1.24927172065652,-0.445923339295296,0.150881528399618,-1.38842113285598,0.779943543770041,2.21875991917376,-0.797699598447039,0.320879878595953,0.252304737686834
"P18",0.93,16,-1.93556032052844,-1.36391714279525,1.77325821140708,0.14515940458336,-0.143315819506027,1.83950569848307,0.0681258223907439,-1.15102003507942,0.0709097288269239,0.694378254916562
"P19",0.93,44,-1.46392838853525,2.56872132417749,-0.203110555470439,0.583152495164753,-0.0156484395179646,-0.425407931786411,1.25442468230733,0.86098036279676,0.317040166531924,0.895016687387807
"P2",0.9951,8,3.01075018966519,0.18407509020603,-0.797839758937829,0.711385654603143,0.403728044488267,-1.21174457088966,1.75436255096364,-0.0285333701533538,-2.27404907580245,0.0286163451563838
"P20",1.0117,11,-2.25454079362034,-0.946562727163805,-0.549643867214012,1.29021581054975,1.10687201595049,1.11678496036242,1.49001419295393,0.383949580643434,-0.0608249053340899,0.0774907148163136
"P21",0.9417,38,-1.70277741059792,-0.716449073162733,3.72075063701272,-0.401482681591856,1.502628505304,1.33636472688451,-0.939555854643038,0.383072347483857,0.0548993045245957,0.153795968918821
"P23",1.178,79,-1.00491219329218,3.906146012544,0.786714090286126,-1.27087816342696,1.1958592871459,-1.85654703370378,0.833821029553916,0.1006720229591,0.358326755255224,-0.280034357421422
"P24",1.0515,44,-1.14551506779223,1.70347672120527,1.34992304454321,0.985043009139089,-1.25840852210266,-0.374942332551682,1.25534103304271,0.0561212215349695,-0.42010120224196,0.304900958429322
"P25",0.9992,18,-1.68771941053015,-0.614528733285971,-1.2999539070422,1.50802778255682,2.24682348803687,-0.689439132902961,-0.476242510482853,-0.969816873163058,1.38696508135091,-1.2004794239417
"P26",1.0513,17,3.34767089869966,-0.605151853210195,-0.271949197084677,0.0304323922696921,-0.774334109608881,-0.409578401291316,1.06461682460154,-1.28318527136945,0.605312810180759,-0.409833049539308
"P27",1.085,31,1.27924497418716,-0.931882800681949,-0.182054208365509,-1.70724212176123,1.94363588076943,0.708638128835987,-1.48462521302129,-0.394478210065996,0.91504106563433,0.532185314704749
"P28",0.806,28,2.05870141708777,-1.40556267684179,-1.8157784494623,-1.3413890127995,0.121122199483301,0.0179251103757583,0.213827577296289,0.577913032795126,-0.666998227728512,0.504798343035783
"P29",1.116,57,2.49408188184688,1.43881041693222,-1.48739982117122,-0.658491338439636,1.32996128560175,-0.594404782797934,-0.149315266326023,0.0681758203026555,0.900518182033145,0.486368737322688
"P3",0.961,20,1.25673055618778,-0.470680510989842,2.61997258353655,0.577343127770815,2.55630663627415,1.55771188977641,0.443418188436681,1.81605271004811,0.42547165180246,0.643796318943601
"P30",0.9184,35,-0.905288753966849,-2.00194747244088,-0.466672056171861,-2.40915540547542,-1.30043350099511,-0.556387283554038,-0.582114841950341,-0.179550026517972,-0.00231109711132134,0.691263137433188
"P31",1.1008,44,-2.97397401234599,-0.751245447024502,0.382697269523472,-0.973901372690155,-2.16403545334387,-0.436114002066979,-1.69985603134726,0.577089695098819,-0.0551695614458703,-0.312551712014551
"P33",1.0678,68,-1.79168616601996,1.06616021800204,1.3947539461139,-0.237174100900546,-2.21262667764122,-0.33131249700609,0.424365313136979,0.658241773166471,0.0849092163400607,0.636197460023099
"P35",1.045,38,-2.61261592668103,-1.68439420701653,0.226182884902331,0.157851859201468,-0.597349003551454,-1.2099723266533,-0.788510555778269,0.269730486783688,-1.50089227272092,-0.159258864787747
"P36",1.085,33,-2.8889351153418,-1.0779683415897,0.596356741987727,0.486983379580103,-0.985006483033715,-1.14535897867629,0.317502781083518,0.0095924367529647,-1.73943616202098,0.104156794994534
"P37",1.0685,28,3.18021362661648,-1.02975866750068,-0.352254388894077,-0.418921154177784,-0.385707735255612,-0.673122331427991,0.291386851691985,0.491136217041073,0.508766595567777,0.20371312297884
"P38",1.054,43,-2.72454779630541,-0.651748499816024,0.528415740371337,-0.356890455402091,-1.82280658492737,-1.16865040485865,-0.57115727213458,0.730922882479442,-0.285941101974427,0.236267532244099
"P39",1.0119,90,-1.56143516468149,1.6393375315687,-1.71572975009327,2.04929477005332,-0.198668830460468,0.195086313769045,-0.639262365355759,0.301581497427315,-0.213389838835873,0.434662381703541
"P4",0.93,14,1.87146694464555,-1.18860762736617,1.683518884717,1.8708982415298,0.607115114370819,-0.261941349775829,0.421302461489183,0.052735956929034,-1.33917235614186,-0.598140345107092
"P40",0.992,22,3.07749774509308,-0.375007429711529,-1.18816122506916,-2.25896536428764,-1.0071593783511,0.595634706408999,-0.175989105980508,0.00298339462714892,0.033565121796166,-0.662352978901477
"P41",0.992,25,1.73713759521499,-1.74244885870293,-0.359927301004687,-0.266738994057699,-0.603322547704697,-0.596828089771817,-0.0267696240146489,-0.808581698862266,-1.16217994648836,0.576562186178527
"P43",0.9238,30,1.63273136383521,0.26308813846293,0.365052722103893,2.47633116580339,-0.355965779752451,-0.517827758160223,-0.00687883359950143,-0.276018584942152,0.335737087203842,-0.437076482266367
"P44",1.054,27,2.31717541982801,-0.407741981983308,0.137826741505567,0.729189552195292,-1.17414338584549,-0.901308140620195,-1.66024997045964,0.465002702303354,-2.55954376202291,-0.508563398332886
"P45",0.93,79,0.893454548606715,2.86675602243401,-1.79861225496668,-1.67474109778088,0.083701569711107,-0.0205513414682355,-1.05893525024351,-1.49722964607859,-0.916260964361168,0.944575915172304
"P46",1.054,93,0.685839259821584,4.22231821241261,-1.64547502480723,-0.256243002465042,1.01649061327965,0.52591722289803,-1.67296593679982,0.537613680848007,-0.889965787503192,-0.000130629326151183
"P47",1.1119,36,1.58084662961134,-0.509187785638164,2.78924503946978,1.23013217366135,0.614468514028836,0.706449488283861,-1.65980062123927,0.893009621346936,0.516689826608243,-0.159552630734939
"P48",1.023,46,2.02177853461426,1.18043637453049,0.475454697252701,1.66914429324147,-1.7803210293071,0.384582358948493,0.580940514195843,-0.532876692497045,0.0895751333518698,0.518806013560294
"P5",0.93,20,3.36631090710291,-0.509306298689032,-0.745965744346809,0.819604730780903,-0.247932641470932,-0.0351707665346724,0.0489362920633148,0.860147045411754,0.826196501386043,0.316221906567512
"P6",1.147,30,-2.0441721410411,-1.02696729103199,1.12688738812262,1.23767221703548,-1.22131581427229,-0.890280618349966,-0.954293449380311,0.721335234712302,0.530237651271601,-1.17670899061989
"P7",1.075,17,-0.527030371805351,-1.78578706801093,0.140072737039711,0.287907384196805,0.764316623200015,-1.56898984287439,-0.0822186892475706,-0.103646989983626,0.821607942901062,-1.96114663400432
"P8",1.023,10,-0.902369378348887,-1.29455812540644,1.52856219231543,-2.13081149017013,2.43691884776969,1.72381560586606,0.535267544741338,1.34469751897316,-3.15774781671164,0.484578123016068
"P9",0.868,40,1.73544065834125,-0.891741135643427,0.848594292331715,-1.05715278084981,1.31132261813817,0.155741768287816,-0.681326066210951,1.27104717641588,0.420774519639576,0.441424242698035
