,M44,M16,M7,M6,M39,M30,M48,M41,M12,M35,M18,M23,M31,M25,M20,M17,M4,M40,M29,M15,M21,M8,M37,M5,M14,M24,M26,M27,M28,M3,M2,M45,M9,M19,M46,M36,M47,M33,M10,M43,M38
M44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16,29.45631948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7,28.85313002,54.56777394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,29.45793316,44.58970549,33.57409266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M39,42.55167961,59.31519901,39.12143603,37.15576901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M30,48.98350741,50.35906682,34.39967141,33.6245209,71.79836332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M48,54.51377358,34.07501298,20.75594021,46.68754699,40.7952027,42.69951457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M41,51.29990938,30.28171537,21.65951526,29.98676898,39.52284462,39.08351653,52.98607204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M12,38.09305402,48.40129506,35.6492169,26.57930998,55.6147174,57.95018862,34.09123758,30.82950897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M35,47.22477018,53.52672771,39.47495893,51.76751771,55.579645,59.49624185,44.36044275,37.47847466,49.97361684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18,38.99054999,52.84807819,50.21565466,40.04328316,41.16268574,40.29575042,33.90453562,34.42621244,47.23379047,59.93104805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23,22.3997436,40.81159036,27.18935621,53.8452516,33.37704958,31.6956208,41.96155477,28.17310017,27.48817981,36.77665817,32.78128421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M31,36.44023984,46.87479497,36.46518552,32.11475782,59.88157096,61.35324717,39.69417329,44.29455115,49.64651196,55.02911186,43.78074826,39.34614465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M25,51.28852588,54.11143396,43.20380949,30.72897743,50.71598927,55.90254536,38.94843744,34.56072313,49.55175793,59.78752477,66.20484975,25.00658444,45.21473863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20,37.34535666,42.64440844,47.02760009,25.57200204,37.68159808,40.52654572,30.68893611,31.13554016,43.18030621,48.29705231,54.20626423,18.57082334,34.268183,57.4292185,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17,26.40633441,37.25529613,40.37828059,17.57287108,41.40973399,43.13021774,23.5615586,23.19775997,40.58738085,37.4060847,40.85400462,15.33391111,34.52290965,48.202772,53.75705914,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,56.2845354,14.15994142,14.32527424,21.12322408,22.32291105,27.14364739,38.89638869,48.08525633,19.91204454,29.35384679,32.34117092,14.38794333,13.1569851,41.48984543,30.29551701,17.31455451,,,,,,,,,,,,,,,,,,,,,,,,,
M40,30.05991707,15.05233956,16.56811649,16.44653706,23.41474997,22.63360393,36.51580381,40.46102315,21.59791023,23.27789627,26.06699736,19.54164318,20.65946355,27.77942689,17.30886794,16.16437355,37.77433678,,,,,,,,,,,,,,,,,,,,,,,,
M29,34.62663631,14.45037181,12.52676974,20.41885826,26.66884613,28.27522203,41.84192961,51.08786106,26.14801929,24.81533437,27.14487108,22.02446576,22.09769456,27.44833957,25.47851609,13.95030368,48.52569656,39.41197467,,,,,,,,,,,,,,,,,,,,,,,
M15,42.87349598,9.922126765,13.66820446,13.67932603,15.5436979,17.61674004,29.43633503,46.06028183,22.45396324,25.01782506,30.82941608,12.84029506,9.047440947,31.53550646,29.75238235,20.28706359,68.3462215,35.04480222,51.30014697,,,,,,,,,,,,,,,,,,,,,,
M21,45.6495114,50.72196688,46.54790102,39.83367933,55.57663971,55.19587818,39.14311041,33.51230268,54.70436727,62.32974818,59.71397341,32.12771619,46.07721558,65.07403928,57.20605349,50.43874183,25.64188314,25.57971365,26.98675898,29.01574906,,,,,,,,,,,,,,,,,,,,,
M8,37.06012128,33.95087459,42.65253553,16.16259893,31.23215791,35.85919035,17.27441789,26.48699676,31.95173444,40.63020263,43.5530032,12.97834641,21.90064803,50.168193,53.05211207,47.47634677,39.85254913,22.35055964,22.77408186,39.39950258,39.48898417,,,,,,,,,,,,,,,,,,,,
M37,46.69323697,25.98184994,25.04745988,25.00937557,31.72020321,33.15914854,48.9104355,73.24866952,30.72521598,35.64727572,41.00082544,27.84811724,34.38044848,32.83120564,30.54960393,18.640763,47.48000243,41.77297311,55.37007935,51.17294093,38.94768123,30.51814008,,,,,,,,,,,,,,,,,,,
M5,54.16701221,20.81947832,23.21771012,22.81363206,29.0408214,29.69889865,43.80300605,49.86456272,38.71675787,36.70861729,35.95946014,20.11214999,25.18167306,38.39649832,31.1978021,19.12051079,61.82944984,40.02225336,58.86625758,58.60230338,40.75392963,30.63460003,59.43683551,,,,,,,,,,,,,,,,,,
M14,27.82856483,38.12150173,41.90297017,24.75954225,35.91255272,38.82944651,27.40771178,26.40377859,35.52582007,36.13866971,43.07418963,19.58364447,29.07964399,47.61197236,51.8196861,48.85024525,20.21115112,14.350406,21.56061614,12.18566635,41.17140451,46.37343766,31.14742282,22.46393048,,,,,,,,,,,,,,,,,
M24,24.16413199,33.59273763,23.5154249,39.54655749,39.58035514,35.9023253,41.89745245,31.41833948,42.99377937,40.51246112,39.25925323,43.10880961,41.99860184,34.57157757,32.46903038,30.12499875,19.89040428,27.59598684,41.30323834,14.60037066,37.47415703,20.89465777,36.91036257,30.71811775,34.68690376,,,,,,,,,,,,,,,,
M26,53.14740115,19.98973342,25.6668596,23.29759063,26.73274272,28.17635154,41.40576243,55.39298025,37.21151682,35.66712319,43.00573437,23.4470149,28.62498298,42.09674006,37.27039262,19.39554222,64.86439722,43.4374224,53.75981811,66.20551424,44.41564512,33.16734822,65.59359668,73.67553542,23.12328551,32.42171479,,,,,,,,,,,,,,,
M27,46.09253309,23.98927818,21.65333558,25.50659098,32.07890326,30.74014741,43.86159552,69.51350452,25.46664324,35.0880136,38.10774792,25.10181495,28.29675411,34.52666947,35.82950089,25.68745125,48.39907312,39.48058894,53.53925742,57.39006526,40.28414088,31.36425583,74.99665449,62.29962971,25.91754355,29.96197753,64.54273439,,,,,,,,,,,,,,
M28,40.06421145,15.23987158,15.77374153,18.19129085,22.89222228,26.71492988,34.16485659,53.07317879,30.41350166,26.73238215,31.02542259,19.2850771,22.17068965,29.14309404,24.05406367,18.81757513,51.09990971,41.05873024,62.37150058,58.87069449,29.98529391,28.29982448,55.22439595,62.89325112,17.17228025,28.26472302,64.59016514,59.23353981,,,,,,,,,,,,,
M3,37.76094273,22.24147697,27.53417305,21.90308947,24.15769262,23.02188479,27.22876815,40.59608231,26.04610889,27.6743102,33.79382082,21.50456117,25.66113062,24.58917626,26.85987344,21.23747393,45.09772364,28.00445713,39.35059404,52.44145145,26.00599818,32.25587438,42.72593205,44.76392353,22.76493595,19.10238695,47.51812558,45.14085627,41.81651911,,,,,,,,,,,,
M2,21.17525346,26.41931304,17.92466417,26.48236105,25.1574121,20.98827081,35.58816443,32.54030624,23.26704973,27.16479422,26.59385672,54.69928131,29.33004595,21.59232101,15.30873993,10.46353989,24.26197783,24.17689137,33.97293182,24.09683448,29.23058354,16.69939422,38.59936148,32.82175494,18.51528756,40.32479649,31.16332491,33.65921379,30.83249312,28.89207662,,,,,,,,,,,
M45,35.32919695,32.22175977,26.11922923,19.36479743,39.46818629,38.93151407,28.05756029,40.54278995,32.17617855,34.89578761,33.67754994,28.58306183,45.33801105,30.77772184,28.68369535,25.40514915,22.94990826,24.27362733,32.67757907,17.68382699,33.68265354,29.94253389,42.75208972,40.95876576,28.95989526,35.90447851,35.44042625,38.47105449,31.38336039,24.07072037,31.31699989,,,,,,,,,,
M9,39.07855779,24.10199179,17.25678518,24.67130313,29.28431325,31.54726679,41.32034061,51.60101877,33.80341602,32.75565845,40.94762957,36.6337922,35.07160116,33.50214916,26.25634705,14.09582704,43.20024154,37.12725675,47.08445274,39.85603263,33.5246956,23.27749548,57.540006,58.57363209,24.77222616,39.11587216,57.18065737,59.12225531,49.68023031,40.5968322,43.31119012,38.28485024,,,,,,,,,
M19,26.6308621,27.83434434,19.1146047,30.15228277,35.27276933,34.59397508,37.37662876,33.13613782,35.05018344,38.27845327,32.28439052,36.17358326,34.52773482,36.14617368,30.43059447,20.01031509,25.33046976,27.68271986,47.02356776,16.59597774,34.9194737,14.08857967,34.47359953,37.42280705,26.68391182,52.95605328,35.16211398,31.75960263,32.37496315,15.9602903,30.45324422,39.65179252,33.04838594,,,,,,,,
M46,23.29987295,21.35958265,13.56856158,28.71244219,28.31129307,26.82188757,42.5388432,32.24929027,26.01441646,24.08262118,19.47738162,39.50851663,30.4556488,19.88706582,15.11573002,15.03368431,18.95211296,52.04979573,40.15722287,14.69192772,20.01305797,8.866496669,33.65660674,28.84173696,24.3609239,43.43159356,27.60155337,28.42553768,25.83213835,18.70913829,31.23634327,32.78663551,31.46220238,42.53726848,,,,,,,
M36,30.20304078,22.79760602,16.29077129,19.8127464,43.76234457,45.76112743,23.66589683,23.84173362,35.11549171,30.66228228,22.17912782,22.43537109,36.47636095,28.52466426,26.23930659,33.21278608,15.30961808,34.53784161,33.71848358,12.82145937,39.27380981,19.95005024,25.13713883,27.12488726,20.98925228,42.63028951,24.91326813,26.95732696,25.1078119,14.37713666,18.24459533,36.36180598,21.60355221,43.06051759,41.09337365,,,,,,
M47,36.00070329,23.10056678,22.07848812,37.12898328,20.33775424,25.99473686,33.66454787,32.9579901,30.98927178,46.56214409,44.53813326,21.11239132,25.65612223,44.45267678,43.59582628,12.80888584,33.01388691,19.86502543,26.42013467,25.25852177,39.71395866,20.92311003,37.45635045,36.46906887,37.59911834,32.22900363,38.62231362,35.28005068,22.73853326,23.73617526,19.12698786,21.9909535,34.30013943,32.09900825,22.59844805,15.51089701,,,,,
M33,29.81269991,41.22767011,29.40898151,30.30359763,40.93118503,39.01014446,40.06231911,34.16680593,41.61623439,40.58387626,42.26049496,35.63381087,36.61154605,47.12809168,39.30614752,28.61477251,26.74668672,26.92946326,36.09778183,20.95443279,44.0353909,23.82847549,36.37418951,35.51062034,38.54656201,57.03781277,36.28410712,33.33478377,27.60424457,17.87346488,31.95780553,37.66906542,34.54516766,60.94974151,36.06738676,34.40530078,37.73538406,,,,
M10,50.79939709,35.28073011,31.1103813,25.69641309,43.58872848,56.33357872,32.77347059,29.8915373,49.13098492,50.99074574,38.895681,20.8383569,42.33943739,50.15315518,45.40591511,41.08672954,30.3398286,25.31253882,30.56644246,22.56019555,54.45858067,32.88675713,34.23277723,46.56460488,30.29950286,35.46552198,39.09509548,32.56584967,34.71593058,19.97275227,15.77141124,39.51096934,26.53184653,40.05639515,21.43270638,51.58571709,30.37906891,42.70329956,,,
M43,46.60300317,24.90703986,28.23247199,26.30945983,25.22553154,27.36336046,38.86680869,40.30390349,36.48842848,43.6525473,48.10570662,23.08722641,33.12244204,44.18805775,35.62916385,12.6154007,39.37094837,29.32457166,37.22055944,30.47476516,44.99584878,20.64012054,51.00441982,56.76287381,34.12722339,33.41888315,56.04414527,47.15164026,37.04959784,29.60219231,25.44558744,34.00331277,49.54053457,41.30553428,27.16906289,23.55511936,51.12803058,43.7625308,42.84174106,,
M38,36.0391231,55.89610403,39.06300363,30.15806188,59.26741341,47.69298374,29.02815547,33.87138005,45.92805533,47.6442956,57.50811875,32.74716319,51.25895317,54.12115378,43.64904472,34.09909885,24.97561433,25.58717356,30.95042038,21.84892639,59.13674355,37.87697459,38.77167534,38.54736644,40.38077715,42.93708219,41.71627259,36.69993106,30.62145142,26.80319326,28.85970676,41.96335754,37.85927561,33.71067188,23.24219541,35.56467932,27.49218646,49.77503451,46.44428507,39.79185125,
