Ind1,Ind2,QG
M43,P20,0.1916
M43,M21,0.3323
M43,P21,0.2019
M43,M23,0.0636
M43,P23,0.1518
M43,M24,0.0994
M43,P24,0.1590
M43,M25,0.2021
M43,P25,0.1324
M43,M30,0.2056
M43,P30,0.2284
M43,M31,0.2640
M43,P31,0.1844
M43,M33,0.2341
M43,P33,0.3132
M43,M35,0.2564
M43,P35,0.2060
P43,M44,0.1396
P43,P44,-0.0413
P43,M45,0.1776
P43,P45,0.2000
P43,M46,0.0684
P43,P46,0.1222
P43,M47,0.0587
P43,P47,0.1097
P43,M48,0.0362
P43,P48,0.0255
P43,M6,0.0249
P43,P6,0.1822
P43,M7,0.1452
P43,P7,0.0816
P43,M8,0.3189
P43,P8,0.1811
P43,M10,0.0588
P43,P10,0.0698
P43,M12,0.2028
P43,P12,0.1032
P43,M14,0.0681
P43,P14,0.1263
P43,M16,0.2460
P43,P16,0.1413
P43,M17,0.2314
P43,P17,0.0466
P43,M18,-0.0283
P43,P18,0.0432
P43,M20,-0.0201
P43,P20,0.0217
P43,M21,0.1958
P43,P21,0.0859
P43,M23,0.0386
P43,P23,0.0873
P43,M24,0.1290
P43,P24,0.0533
P43,M25,0.2030
P43,P25,0.2155
P43,M30,0.0849
P43,P30,0.2309
P43,M31,0.1115
P43,P31,0.1048
P43,M33,0.2808
P43,P33,0.1974
P43,M35,0.1103
P43,P35,-0.0187
M44,P44,0.5021
M44,M45,0.0310
M44,P45,0.1176
M44,M46,-0.0108
M44,P46,0.0916
M44,M47,0.0865
M44,P47,0.1485
M44,M48,0.0908
M44,P48,0.0920
M44,M6,0.1617
M44,P6,0.2100
M44,M7,0.0076
M44,P7,-0.0594
M44,M8,-0.0653
M44,P8,-0.1049
M44,M10,0.2254
M44,P10,0.1678
M44,M12,-0.0256
M44,P12,0.1802
M44,M14,0.0720
M44,P14,0.1437
M44,M16,0.0516
M44,P16,0.1407
M44,M17,0.1479
M44,P17,0.1452
M44,M18,0.1743
M44,P18,0.0927
M44,M20,-0.0491
M44,P20,0.0690
M44,M21,0.2772
M44,P21,0.2053
M44,M23,-0.0205
M44,P23,-0.0261
M44,M24,0.1029
M44,P24,0.2131
M44,M25,-0.0662
M44,P25,0.1877
M44,M30,0.1187
M44,P30,0.0694
M44,M31,0.0083
M44,P31,0.0277
M44,M33,0.1775
M44,P33,0.2146
M44,M35,0.2254
M44,P35,0.2894
P44,M45,0.1226
P44,P45,0.0640
P44,M46,0.0240
P44,P46,0.0811
P44,M47,0.0319
P44,P47,0.0121
P44,M48,0.1450
P44,P48,0.1966
P44,M6,0.1052
P44,P6,0.1078
P44,M7,0.0646
P44,P7,-0.0010
P44,M8,0.0186
P44,P8,0.0168
P44,M10,0.2072
P44,P10,0.2070
P44,M12,0.0682
P44,P12,0.1252
P44,M14,-0.0107
P44,P14,0.1284
P44,M16,0.1602
P44,P16,0.2301
P44,M17,0.1349
P44,P17,0.1944
P44,M18,0.1612
P44,P18,0.1236
P44,M20,0.0586
P44,P20,0.0948
P44,M21,0.1169
P44,P21,0.2413
P44,M23,0.0963
P44,P23,0.1837
P44,M24,0.1330
P44,P24,0.2385
P44,M25,0.0797
P44,P25,0.1267
P44,M30,0.0788
P44,P30,0.1068
P44,M31,-0.0008
P44,P31,0.0548
P44,M33,0.0695
P44,P33,0.2068
P44,M35,0.2058
P44,P35,0.2751
M45,P45,0.6918
M45,M46,0.0854
M45,P46,0.1598
M45,M47,-0.0076
M45,P47,0.0350
M45,M48,0.1013
M45,P48,0.1777
M45,M6,0.1245
M45,P6,0.0032
M45,M7,0.0534
M45,P7,0.1572
M45,M8,0.2206
M45,P8,0.0258
M45,M10,0.1861
M45,P10,0.0742
M45,M12,0.2433
M45,P12,0.0839
M45,M14,0.1546
M45,P14,0.1468
M45,M16,0.1262
M45,P16,0.1867
M45,M17,0.1345
M45,P17,0.2830
M45,M18,0.1864
M45,P18,0.1719
M45,M20,0.0491
M45,P20,0.1220
M45,M21,0.0999
M45,P21,0.1892
M45,M23,0.3067
M45,P23,0.1439
M45,M24,0.2520
M45,P24,0.1712
M45,M25,0.2035
M45,P25,0.3341
M45,M30,0.3042
M45,P30,0.1517
M45,M31,0.1218
M45,P31,0.2094
M45,M33,0.1717
M45,P33,0.1746
M45,M35,0.1957
M45,P35,0.2201
P45,M46,0.1051
P45,P46,0.1808
P45,M47,-0.0019
P45,P47,0.1397
P45,M48,0.1487
P45,P48,0.1001
P45,M6,0.0122
P45,P6,0.0264
P45,M7,-0.0039
P45,P7,0.0091
P45,M8,0.2918
P45,P8,0.0961
P45,M10,0.2102
P45,P10,0.1005
P45,M12,0.1438
P45,P12,0.2564
P45,M14,0.1921
P45,P14,0.2286
P45,M16,0.1760
P45,P16,0.2771
P45,M17,0.0963
P45,P17,0.1158
P45,M18,0.2494
P45,P18,0.3068
P45,M20,0.0285
P45,P20,0.1534
P45,M21,0.1661
P45,P21,0.2375
P45,M23,0.1412
P45,P23,0.0822
P45,M24,0.2107
P45,P24,0.2298
P45,M25,0.2270
P45,P25,0.2947
P45,M30,0.3236
P45,P30,0.2400
P45,M31,0.0879
P45,P31,0.1044
P45,M33,0.0709
P45,P33,0.1719
P45,M35,0.1078
P45,P35,0.1319
M46,P46,0.4758
M46,M47,0.0860
M46,P47,0.0448
M46,M48,0.1970
M46,P48,0.1618
M46,M6,0.1117
M46,P6,0.1640
M46,M7,0.0889
M46,P7,0.1191
M46,M8,0.1274
M46,P8,0.0568
M46,M10,-0.0086
M46,P10,0.1013
M46,M12,0.0320
M46,P12,0.1492
M46,M14,0.0430
M46,P14,0.0924
M46,M16,0.1395
M46,P16,0.0497
M46,M17,-0.0533
M46,P17,0.0824
M46,M18,0.1434
M46,P18,0.1662
M46,M20,-0.0742
M46,P20,0.0087
M46,M21,0.0813
M46,P21,0.1669
M46,M23,0.1846
M46,P23,0.1586
M46,M24,0.2285
M46,P24,0.1704
M46,M25,0.1135
M46,P25,0.1633
M46,M30,0.1342
M46,P30,0.0646
M46,M31,0.1376
M46,P31,0.1170
M46,M33,0.1331
M46,P33,0.0913
M46,M35,0.1125
M46,P35,0.1156
P46,M47,0.1502
P46,P47,0.1933
P46,M48,0.1689
P46,P48,0.1770
P46,M6,0.0824
P46,P6,0.1953
P46,M7,0.0260
P46,P7,0.0382
P46,M8,0.2553
P46,P8,0.2502
P46,M10,0.1828
P46,P10,0.1699
P46,M12,0.1592
P46,P12,0.1725
P46,M14,0.0777
P46,P14,0.1281
P46,M16,0.1898
P46,P16,0.1097
P46,M17,0.0665
P46,P17,0.0484
P46,M18,0.1111
P46,P18,0.0965
P46,M20,0.0118
P46,P20,0.0713
P46,M21,0.1844
P46,P21,0.1503
P46,M23,0.1808
P46,P23,0.1529
P46,M24,0.1588
P46,P24,0.1949
P46,M25,0.1450
P46,P25,0.3822
P46,M30,0.1419
P46,P30,0.0528
P46,M31,0.3095
P46,P31,0.2037
P46,M33,0.0809
P46,P33,0.0607
P46,M35,0.1340
P46,P35,0.0995
M47,P47,0.5632
M47,M48,0.1451
M47,P48,0.1241
M47,M6,0.1388
M47,P6,0.0811
M47,M7,0.0732
M47,P7,0.2575
M47,M8,0.0725
M47,P8,0.0733
M47,M10,0.0409
M47,P10,0.1332
M47,M12,-0.0507
M47,P12,0.1543
M47,M14,0.0847
M47,P14,0.0179
M47,M16,0.0009
M47,P16,0.0693
M47,M17,0.0808
M47,P17,-0.0044
M47,M18,0.2704
M47,P18,0.1590
M47,M20,0.0295
M47,P20,0.0997
M47,M21,0.1701
M47,P21,0.1255
M47,M23,0.0692
M47,P23,0.0449
M47,M24,0.0706
M47,P24,0.1211
M47,M25,0.0428
M47,P25,0.3812
M47,M30,-0.0045
M47,P30,-0.0687
M47,M31,0.2012
M47,P31,0.1637
M47,M33,0.0923
M47,P33,0.0302
M47,M35,0.0564
M47,P35,0.2032
P47,M48,0.1944
P47,P48,0.0478
P47,M6,0.0488
P47,P6,0.0706
P47,M7,0.0140
P47,P7,0.1245
P47,M8,0.1445
P47,P8,-0.0230
P47,M10,0.0091
P47,P10,0.0791
P47,M12,0.0028
P47,P12,0.1457
P47,M14,0.0734
P47,P14,0.0553
P47,M16,0.0850
P47,P16,0.0655
P47,M17,0.0840
P47,P17,0.0075
P47,M18,0.1619
P47,P18,0.0162
P47,M20,-0.0619
P47,P20,0.1075
P47,M21,0.1792
P47,P21,0.1194
P47,M23,0.1813
P47,P23,0.1358
P47,M24,0.1285
P47,P24,0.0490
P47,M25,0.1662
P47,P25,0.1852
P47,M30,0.1105
P47,P30,-0.0246
P47,M31,0.1247
P47,P31,0.0950
P47,M33,0.1157
P47,P33,0.1206
P47,M35,0.1475
P47,P35,0.0916
M48,P48,0.5541
M48,M6,0.2248
M48,P6,0.1236
M48,M7,0.1609
M48,P7,0.0870
M48,M8,0.0125
M48,P8,0.0904
M48,M10,0.1642
M48,P10,0.1278
M48,M12,0.0197
M48,P12,0.1636
M48,M14,0.0734
M48,P14,0.1106
M48,M16,0.1088
M48,P16,0.2945
M48,M17,0.1293
M48,P17,0.1513
M48,M18,0.1875
M48,P18,0.0403
M48,M20,0.0172
M48,P20,0.0132
M48,M21,0.0939
M48,P21,0.1318
M48,M23,0.1555
M48,P23,0.2313
M48,M24,0.0641
M48,P24,0.1109
M48,M25,0.0016
M48,P25,0.0327
M48,M30,0.2728
M48,P30,0.1799
M48,M31,0.0797
M48,P31,-0.0004
M48,M33,0.2733
M48,P33,0.2136
M48,M35,0.0315
M48,P35,0.0258
P48,M6,0.2337
P48,P6,0.1049
P48,M7,0.1308
P48,P7,0.0593
P48,M8,0.1063
P48,P8,0.2090
P48,M10,0.1450
P48,P10,0.1546
P48,M12,0.1586
P48,P12,0.0991
P48,M14,0.0153
P48,P14,0.1065
P48,M16,0.2336
P48,P16,0.2636
P48,M17,0.1435
P48,P17,0.1934
P48,M18,0.2863
P48,P18,0.1286
P48,M20,0.1809
P48,P20,0.1325
P48,M21,0.0654
P48,P21,0.1360
P48,M23,0.1280
P48,P23,0.2136
P48,M24,0.1290
P48,P24,0.0881
P48,M25,0.0250
P48,P25,0.1618
P48,M30,0.2072
P48,P30,0.1386
P48,M31,0.2108
P48,P31,0.0509
P48,M33,0.1191
P48,P33,0.1051
P48,M35,0.1279
P48,P35,0.1279
M6,P6,0.5524
M6,M7,0.0377
M6,P7,0.0933
M6,M8,0.0640
M6,P8,0.1010
M6,M10,0.1329
M6,P10,0.1202
M6,M12,-0.0174
M6,P12,-0.1337
M6,M14,-0.0114
M6,P14,0.1236
M6,M16,0.0924
M6,P16,0.1182
M6,M17,0.1304
M6,P17,0.1004
M6,M18,0.0205
M6,P18,0.1213
M6,M20,0.1330
M6,P20,0.1419
M6,M21,0.0997
M6,P21,0.1210
M6,M23,0.1268
M6,P23,0.1462
M6,M24,-0.0107
M6,P24,0.0413
M6,M25,0.1148
M6,P25,0.1507
M6,M30,0.1040
M6,P30,0.2681
M6,M31,0.1458
M6,P31,0.0981
M6,M33,0.0331
M6,P33,0.0718
M6,M35,0.0165
M6,P35,0.1428
P6,M7,0.0594
P6,P7,0.1110
P6,M8,0.2636
P6,P8,0.1608
P6,M10,0.2046
P6,P10,0.2116
P6,M12,0.0876
P6,P12,0.0067
P6,M14,0.0337
P6,P14,0.0971
P6,M16,0.0064
P6,P16,0.0156
P6,M17,0.1915
P6,P17,0.1567
P6,M18,-0.0261
P6,P18,0.0255
P6,M20,0.1016
P6,P20,0.1026
P6,M21,0.1676
P6,P21,0.0893
P6,M23,0.1026
P6,P23,0.0680
P6,M24,0.0466
P6,P24,0.0991
P6,M25,0.0777
P6,P25,0.0709
P6,M30,0.0686
P6,P30,0.2089
P6,M31,0.0918
P6,P31,0.0549
P6,M33,0.0874
P6,P33,0.0330
P6,M35,0.0885
P6,P35,0.0223
M7,P7,0.5971
M7,M8,0.2074
M7,P8,0.1960
M7,M10,0.1601
M7,P10,0.1792
M7,M12,0.0439
M7,P12,0.1188
M7,M14,0.1764
M7,P14,-0.0341
M7,M16,0.0014
M7,P16,0.0792
M7,M17,0.1661
M7,P17,0.0916
M7,M18,-0.0114
M7,P18,-0.0034
M7,M20,0.1351
M7,P20,0.1375
M7,M21,0.1255
M7,P21,0.1086
M7,M23,0.1868
M7,P23,0.0238
M7,M24,0.1994
M7,P24,0.1759
M7,M25,0.0798
M7,P25,0.0787
M7,M30,0.0958
M7,P30,0.0280
M7,M31,0.0173
M7,P31,0.0702
M7,M33,0.0466
M7,P33,0.0844
M7,M35,0.2074
M7,P35,0.2147
P7,M8,0.2437
P7,P8,0.1981
P7,M10,0.0770
P7,P10,0.1787
P7,M12,0.0060
P7,P12,0.0741
P7,M14,-0.0016
P7,P14,-0.0878
P7,M16,0.0656
P7,P16,0.0835
P7,M17,0.0754
P7,P17,0.0739
P7,M18,0.0165
P7,P18,0.0422
P7,M20,0.1276
P7,P20,0.1669
P7,M21,0.0373
P7,P21,0.1646
P7,M23,0.0570
P7,P23,0.0925
P7,M24,0.1197
P7,P24,0.0596
P7,M25,0.1301
P7,P25,0.1547
P7,M30,0.1895
P7,P30,-0.0400
P7,M31,0.1672
P7,P31,-0.0109
P7,M33,0.0113
P7,P33,0.1158
P7,M35,0.1615
P7,P35,0.2381
M8,P8,0.5376
M8,M10,0.0990
M8,P10,0.1667
M8,M12,0.1712
M8,P12,0.1270
M8,M14,-0.0031
M8,P14,0.0606
M8,M16,0.1735
M8,P16,0.1930
M8,M17,0.0942
M8,P17,0.1532
M8,M18,0.0790
M8,P18,0.1829
M8,M20,0.2075
M8,P20,0.1109
M8,M21,0.2274
M8,P21,0.1351
M8,M23,0.2306
M8,P23,0.0787
M8,M24,0.1755
M8,P24,0.0422
M8,M25,0.2614
M8,P25,0.2178
M8,M30,0.3259
M8,P30,0.2432
M8,M31,0.1202
M8,P31,0.1637
M8,M33,0.0714
M8,P33,0.1721
M8,M35,0.2368
M8,P35,0.0854
P8,M10,0.1220
P8,P10,0.2197
P8,M12,0.1778
P8,P12,0.1011
P8,M14,-0.1107
P8,P14,0.0212
P8,M16,0.0450
P8,P16,0.2107
P8,M17,0.2024
P8,P17,0.1822
P8,M18,0.0748
P8,P18,0.1121
P8,M20,0.3720
P8,P20,0.1448
P8,M21,-0.0024
P8,P21,-0.0114
P8,M23,0.1625
P8,P23,0.1047
P8,M24,0.1066
P8,P24,0.0357
P8,M25,0.2199
P8,P25,0.2869
P8,M30,0.0623
P8,P30,-0.0776
P8,M31,0.1271
P8,P31,0.0253
P8,M33,0.1444
P8,P33,0.1668
P8,M35,0.1610
P8,P35,0.0919
M10,P10,0.6706
M10,M12,-0.0550
M10,P12,0.1158
M10,M14,0.1003
M10,P14,0.1299
M10,M16,0.1875
M10,P16,0.2446
M10,M17,0.1344
M10,P17,0.1075
M10,M18,0.0872
M10,P18,0.3627
M10,M20,0.0831
M10,P20,0.1174
M10,M21,0.1935
M10,P21,0.0865
M10,M23,0.2630
M10,P23,0.1839
M10,M24,0.2189
M10,P24,0.1481
M10,M25,0.1512
M10,P25,0.2683
M10,M30,0.0609
M10,P30,-0.0514
M10,M31,-0.0108
M10,P31,0.0701
M10,M33,-0.0804
M10,P33,0.0528
M10,M35,0.2109
M10,P35,0.1788
P10,M12,-0.1344
P10,P12,0.1056
P10,M14,0.2213
P10,P14,0.1778
P10,M16,0.2079
P10,P16,0.3075
P10,M17,0.0735
P10,P17,0.0412
P10,M18,0.1415
P10,P18,0.2532
P10,M20,0.0775
P10,P20,0.0907
P10,M21,0.1655
P10,P21,0.1518
P10,M23,0.2054
P10,P23,0.1380
P10,M24,0.1857
P10,P24,0.1518
P10,M25,0.0231
P10,P25,0.0685
P10,M30,0.1392
P10,P30,0.0918
P10,M31,0.0296
P10,P31,0.1042
P10,M33,0.0043
P10,P33,-0.0136
P10,M35,0.2984
P10,P35,0.2089
M12,P12,0.4530
M12,M14,0.0456
M12,P14,0.0472
M12,M16,0.2476
M12,P16,0.1804
M12,M17,0.0410
M12,P17,0.1997
M12,M18,0.1852
M12,P18,0.1894
M12,M20,0.0734
M12,P20,0.1042
M12,M21,-0.0217
M12,P21,0.0257
M12,M23,0.0461
M12,P23,0.0799
M12,M24,0.0834
M12,P24,0.0740
M12,M25,0.1835
M12,P25,0.2018
M12,M30,0.0341
M12,P30,0.1788
M12,M31,0.1398
M12,P31,0.1994
M12,M33,0.2302
M12,P33,0.0315
M12,M35,0.0549
M12,P35,0.0812
P12,M14,0.0460
P12,P14,0.1024
P12,M16,0.3206
P12,P16,0.1845
P12,M17,0.1182
P12,P17,0.1026
P12,M18,0.2777
P12,P18,0.3318
P12,M20,0.0005
P12,P20,0.0970
P12,M21,0.0225
P12,P21,0.1751
P12,M23,0.1303
P12,P23,0.0593
P12,M24,0.1348
P12,P24,0.1496
P12,M25,0.0804
P12,P25,0.2443
P12,M30,0.1372
P12,P30,0.2874
P12,M31,0.0605
P12,P31,0.0622
P12,M33,0.2068
P12,P33,0.1272
P12,M35,0.1645
P12,P35,0.1100
M14,P14,0.6519
M14,M16,0.0856
M14,P16,0.1045
M14,M17,-0.0096
M14,P17,0.1726
M14,M18,0.0894
M14,P18,-0.0119
M14,M20,-0.0323
M14,P20,0.1477
M14,M21,0.2414
M14,P21,0.2651
M14,M23,0.0348
M14,P23,0.1329
M14,M24,0.1158
M14,P24,0.2574
M14,M25,0.0088
M14,P25,0.0817
M14,M30,0.1152
M14,P30,0.2585
M14,M31,-0.1443
M14,P31,-0.0594
M14,M33,0.1307
M14,P33,0.1151
M14,M35,0.3050
M14,P35,0.2315
P14,M16,0.2168
P14,P16,0.1866
P14,M17,0.0898
P14,P17,0.0595
P14,M18,0.1817
P14,P18,0.1385
P14,M20,0.1316
P14,P20,0.2257
P14,M21,0.1019
P14,P21,0.1514
P14,M23,0.0107
P14,P23,0.0766
P14,M24,0.0830
P14,P24,0.1708
P14,M25,0.0337
P14,P25,0.1623
P14,M30,0.2518
P14,P30,0.3628
P14,M31,0.0205
P14,P31,0.0040
P14,M33,0.2142
P14,P33,0.2945
P14,M35,0.1928
P14,P35,0.1673
M16,P16,0.5861
M16,M17,-0.0010
M16,P17,0.0220
M16,M18,0.2531
M16,P18,0.2574
M16,M20,0.0562
M16,P20,0.1711
M16,M21,0.2324
M16,P21,0.2248
M16,M23,0.1112
M16,P23,0.1027
M16,M24,0.1509
M16,P24,0.2430
M16,M25,0.2667
M16,P25,0.3204
M16,M30,0.1933
M16,P30,0.2489
M16,M31,0.1495
M16,P31,0.1644
M16,M33,0.2260
M16,P33,0.1415
M16,M35,0.1213
M16,P35,0.1286
P16,M17,0.0967
P16,P17,0.0268
P16,M18,0.2690
P16,P18,0.4310
P16,M20,0.1394
P16,P20,0.2175
P16,M21,0.2003
P16,P21,0.1791
P16,M23,0.0923
P16,P23,0.2221
P16,M24,0.1727
P16,P24,0.2419
P16,M25,0.1628
P16,P25,0.5056
P16,M30,0.0650
P16,P30,0.0511
P16,M31,0.1689
P16,P31,0.0398
P16,M33,0.2525
P16,P33,0.2191
P16,M35,0.0485
P16,P35,0.1670
M17,P17,0.4995
M17,M18,0.0071
M17,P18,0.0591
M17,M20,0.1598
M17,P20,0.0528
M17,M21,0.0378
M17,P21,0.1443
M17,M23,0.0887
M17,P23,0.0664
M17,M24,0.1002
M17,P24,0.1196
M17,M25,0.2327
M17,P25,0.2436
M17,M30,0.1011
M17,P30,0.1936
M17,M31,-0.0358
M17,P31,-0.0497
M17,M33,0.0304
M17,P33,0.2289
M17,M35,0.1545
M17,P35,0.0519
P17,M18,0.2248
P17,P18,0.2658
P17,M20,0.1495
P17,P20,0.1582
P17,M21,0.0662
P17,P21,0.1420
P17,M23,0.1290
P17,P23,0.1248
P17,M24,0.0598
P17,P24,0.2525
P17,M25,0.1424
P17,P25,0.2386
P17,M30,0.1923
P17,P30,0.1594
P17,M31,0.0125
P17,P31,0.0481
P17,M33,0.0515
P17,P33,0.1760
P17,M35,0.2153
P17,P35,0.3063
M18,P18,0.6289
M18,M20,0.1384
M18,P20,0.2583
M18,M21,0.0639
M18,P21,0.2532
M18,M23,0.1963
M18,P23,0.1205
M18,M24,0.0255
M18,P24,0.1280
M18,M25,-0.0100
M18,P25,0.1660
M18,M30,0.2581
M18,P30,0.2145
M18,M31,0.1536
M18,P31,0.0404
M18,M33,0.0619
M18,P33,0.0306
M18,M35,0.1185
M18,P35,0.2006
P18,M20,0.0742
P18,P20,0.2519
P18,M21,0.0580
P18,P21,0.1628
P18,M23,0.3023
P18,P23,0.1378
P18,M24,0.0789
P18,P24,0.1638
P18,M25,-0.0124
P18,P25,0.4483
P18,M30,0.2161
P18,P30,0.1761
P18,M31,0.1180
P18,P31,0.1101
P18,M33,0.0949
P18,P33,0.0146
P18,M35,0.1504
P18,P35,0.2513
M20,P20,0.5462
M20,M21,0.1043
M20,P21,0.0595
M20,M23,0.1401
M20,P23,-0.0679
M20,M24,0.1063
M20,P24,0.1272
M20,M25,0.1076
M20,P25,0.1264
M20,M30,0.0312
M20,P30,0.1156
M20,M31,0.2564
M20,P31,0.2454
M20,M33,0.1045
M20,P33,0.0777
M20,M35,0.1312
M20,P35,0.0592
P20,M21,0.2687
P20,P21,0.1270
P20,M23,0.0591
P20,P23,-0.0040
P20,M24,0.0276
P20,P24,0.3847
P20,M25,0.0274
P20,P25,0.1310
P20,M30,0.1338
P20,P30,0.3021
P20,M31,0.0413
P20,P31,0.0494
P20,M33,0.0868
P20,P33,0.1405
P20,M35,0.1082
P20,P35,0.1834
M21,P21,0.5545
M21,M23,0.0800
M21,P23,0.1998
M21,M24,0.1500
M21,P24,0.3641
M21,M25,0.1686
M21,P25,0.3037
M21,M30,0.0767
M21,P30,0.2103
M21,M31,0.0520
M21,P31,0.1577
M21,M33,0.0836
M21,P33,0.0909
M21,M35,0.1441
M21,P35,0.1315
P21,M23,0.1429
P21,P23,0.1961
P21,M24,0.0198
P21,P24,0.2078
P21,M25,0.2104
P21,P25,0.3003
P21,M30,0.1423
P21,P30,0.2899
P21,M31,0.0940
P21,P31,0.1154
P21,M33,0.0651
P21,P33,0.1178
P21,M35,0.1751
P21,P35,0.2859
M23,P23,0.5148
M23,M24,0.2431
M23,P24,0.1118
M23,M25,0.2735
M23,P25,0.2122
M23,M30,0.1359
M23,P30,0.0280
M23,M31,0.0992
M23,P31,0.1455
M23,M33,0.0701
M23,P33,0.0790
M23,M35,0.0631
M23,P35,0.1374
P23,M24,0.1607
P23,P24,0.0756
P23,M25,0.2823
P23,P25,0.2364
P23,M30,0.1696
P23,P30,0.1671
P23,M31,0.0463
P23,P31,-0.0048
P23,M33,0.1497
P23,P33,0.1262
P23,M35,0.0413
P23,P35,0.1519
M24,P24,0.5444
M24,M25,0.1411
M24,P25,0.1187
M24,M30,0.1876
M24,P30,0.0500
M24,M31,0.0952
M24,P31,0.2000
M24,M33,0.0905
M24,P33,0.0786
M24,M35,0.1789
M24,P35,0.1161
P24,M25,0.0837
P24,P25,0.2424
P24,M30,0.0851
P24,P30,0.0643
P24,M31,-0.0331
P24,P31,0.0570
P24,M33,0.1357
P24,P33,0.1908
P24,M35,0.2461
P24,P35,0.1938
M25,P25,0.5371
M25,M30,0.1801
M25,P30,0.1796
M25,M31,0.0752
M25,P31,0.1896
M25,M33,-0.0025
M25,P33,0.0956
M25,M35,0.0780
M25,P35,0.0934
P25,M30,0.2193
P25,P30,0.2475
P25,M31,0.2965
P25,P31,0.1464
P25,M33,-0.0808
P25,P33,0.0321
P25,M35,0.0842
P25,P35,0.1538
M30,P30,0.5642
M30,M31,0.0837
M30,P31,0.0819
M30,M33,0.1285
M30,P33,0.1305
M30,M35,0.1774
M30,P35,0.0196
P30,M31,0.1418
P30,P31,0.1557
P30,M33,0.1142
P30,P33,0.1489
P30,M35,0.1524
P30,P35,0.2236
M31,P31,0.5635
M31,M33,0.0541
M31,P33,0.0244
M31,M35,0.1021
M31,P35,0.1053
P31,M33,0.0643
P31,P33,0.0995
P31,M35,0.0956
P31,P35,0.0590
M33,P33,0.6029
M33,M35,0.1710
M33,P35,0.0011
P33,M35,0.1592
P33,P35,0.0924
M35,P35,0.5459
