,SCORE1,SCORE2,SCORE3,SCORE4,SCORE5
M10,1.35667997,0.599190285,-2.502311666,-1.995085853,-0.466554647
M12,2.108117493,0.25877603,-1.213885574,-0.700514802,0.121291187
M14,1.834366972,-1.25858108,0.084548174,1.971635612,-0.530881407
M15,-3.504060461,-0.946130189,-1.045529663,-0.510912712,0.468536382
M16,3.20063179,0.151186042,-0.04117626,2.517844402,0.949679717
M17,2.477558152,-0.824002257,-3.021778667,1.093599797,0.859696752
M18,1.739087067,-2.293202467,1.23620969,-0.20758161,-0.12602013
M19,0.283749603,1.642443601,1.157530961,-1.48923404,-2.240984483
M2,-1.161881324,0.694354785,1.467962123,3.252530064,-0.443979994
M20,2.003808181,-1.465489466,-0.566444728,-1.214730027,0.231112414
M21,2.508650057,-0.934658968,-0.478215258,-1.023735014,0.476453174
M23,0.775877295,3.125089408,2.142037753,2.471168914,1.080713728
M24,1.161451146,1.273139054,1.725156673,0.799313539,-2.05810629
M25,2.086188437,-1.22386272,-0.570171901,-1.154854586,-0.124744593
M26,-2.71322492,-0.803933576,-0.340641226,-1.127534504,-0.494280277
M27,-2.902154751,-0.948332474,-0.222121502,0.667378302,0.340080617
M28,-3.284521905,-0.505139707,-0.97087422,-0.078925364,-0.446129348
M29,-3.304104721,0.108290824,-0.175975199,-0.338829827,-1.221532839
M3,-2.388617837,-1.540179639,-0.285336428,0.611596704,0.202298794
M30,2.579024464,1.140033127,-2.669215481,-0.31480508,1.186678247
M31,2.834290374,0.45012193,-0.714539075,0.90974353,0.185689119
M33,1.256343166,1.075130942,1.027962891,-0.334253354,-2.629862526
M35,2.326902124,-0.34418811,1.099242121,-1.570559208,1.731409252
M36,1.284973648,1.750766309,-2.759667442,-0.217696889,-0.991437468
M37,-2.878168911,-0.938121851,-0.104208994,1.388396935,-0.170291764
M38,2.139532048,-1.873086459,-0.18345391,1.157481897,-1.544386984
M39,3.019979031,0.937735108,-2.023706222,0.797272079,0.632669341
M4,-3.047178053,-0.196537911,-0.829400166,-1.535264295,0.22642187
M40,-2.250756294,1.150133501,-0.89293164,1.148139377,-1.012654443
M41,-2.634386714,0.116159694,-0.554233551,1.128497114,1.070218662
M43,-1.27147978,-0.205512378,1.579314184,-2.240875097,-1.229356672
M44,-1.465365314,0.753504912,-2.063346866,-1.79619317,1.72932099
M45,-0.289835654,-0.275164542,-1.105770794,2.344494902,-1.423207216
M46,-0.947177093,3.280328332,0.410762872,1.662602824,-1.674171261
M47,-0.163992462,-0.282778047,3.385836834,-1.628424315,0.370436226
M48,-1.156098773,3.05850243,0.32727412,-0.411474914,1.173775771
M5,-2.909779782,-0.302531705,-0.533746269,-1.372219381,-0.713550469
M6,1.049627416,2.638557129,3.500141352,0.585680337,2.764321481
M7,2.117707554,-1.106548802,-0.615836313,2.204899372,0.951886538
M8,0.703350604,-2.870369336,-1.886275612,1.519025809,1.287379416
M9,-2.469622211,-0.568974365,1.051844254,0.565680203,-0.850278281
P10,1.727516883,0.550632137,-0.575029224,-2.828205362,1.516218918
P12,2.800623058,-1.21109156,0.265934538,-0.605228192,-0.715568344
P14,1.48083196,-0.179930376,-2.632602504,-2.030311165,1.371238156
P15,-2.308964488,-0.711498807,3.331743804,0.031439938,1.345176151
P16,1.118688331,3.248868627,0.637135016,-0.524500452,-0.769071842
P17,2.495879365,-1.249271721,-0.445923339,-0.150881528,-1.388421133
P18,1.93556032,-1.363917142,1.773258211,-0.145159405,-0.14331582
P19,1.463928389,2.568721324,-0.203110556,-0.583152496,-0.015648439
P2,-3.01075019,0.18407509,-0.797839759,-0.711385654,0.403728045
P20,2.254540793,-0.946562727,-0.549643867,-1.29021581,1.106872016
P21,1.70277741,-0.716449072,3.720750637,0.401482681,1.502628505
P23,1.004912193,3.906146013,0.78671409,1.270878163,1.195859286
P24,1.145515068,1.703476722,1.349923044,-0.98504301,-1.258408522
P25,1.68771941,-0.614528733,-1.299953907,-1.508027782,2.246823488
P26,-3.347670898,-0.605151853,-0.271949197,-0.030432392,-0.77433411
P27,-1.279244974,-0.9318828,-0.182054208,1.707242122,1.943635881
P28,-2.058701417,-1.405562677,-1.815778449,1.341389014,0.1211222
P29,-2.494081882,1.438810416,-1.487399821,0.658491339,1.329961286
P3,-1.256730556,-0.47068051,2.619972583,-0.577343128,2.556306636
P30,0.905288754,-2.001947472,-0.466672055,2.409155406,-1.300433501
P31,2.973974013,-0.751245447,0.38269727,0.973901372,-2.164035453
P33,1.791686166,1.066160218,1.394753946,0.237174101,-2.212626678
P35,2.612615927,-1.684394207,0.226182885,-0.157851859,-0.597349003
P36,2.888935115,-1.077968342,0.596356742,-0.48698338,-0.985006483
P37,-3.180213627,-1.029758667,-0.352254389,0.418921154,-0.385707735
P38,2.724547796,-0.6517485,0.528415741,0.356890455,-1.822806585
P39,1.561435165,1.639337531,-1.715729751,-2.049294769,-0.198668831
P4,-1.871466945,-1.188607628,1.683518884,-1.870898242,0.607115115
P40,-3.077497745,-0.37500743,-1.188161224,2.258965365,-1.007159378
P41,-1.737137595,-1.742448859,-0.359927301,0.266738994,-0.603322548
P43,-1.632731364,0.263088138,0.365052722,-2.476331166,-0.355965779
P44,-2.317175419,-0.407741982,0.137826741,-0.729189552,-1.174143386
P45,-0.893454548,2.866756022,-1.798612255,1.674741098,0.083701569
P46,-0.68583926,4.222318213,-1.645475025,0.256243003,1.016490613
P47,-1.58084663,-0.509187785,2.789245039,-1.230132174,0.614468514
P48,-2.021778535,1.180436374,0.475454697,-1.669144294,-1.780321029
P5,-3.366310907,-0.509306299,-0.745965744,-0.819604731,-0.247932642
P6,2.044172141,-1.026967291,1.126887388,-1.237672217,-1.221315814
P7,0.527030372,-1.785787068,0.140072738,-0.287907384,0.764316623
P8,0.902369378,-1.294558125,1.528562193,2.13081149,2.436918848
P9,-1.735440658,-0.891741135,0.848594293,1.057152781,1.311322618
