Group 44,,,,
Average similarity: 39.33,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
8.904761905,2.5,9.33,23.74,23.74
30.80365385,1.91,7.61,19.35,43.08
21.12214286,1.47,4.56,11.59,54.67
9.755306122,1.23,4.25,10.8,65.47
13.7290678,1.39,3.9,9.91,75.38
17.325,0.98,3.52,8.96,84.34
14.6988,0.93,3.24,8.25,92.58
,,,,
Group 16,,,,
Average similarity: 34.39,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
37.56363636,1.5,4.02,11.69,11.69
15.538,1.66,3.72,10.82,22.51
15.62272727,1.52,3.35,9.74,32.25
14.6988,1.04,3.01,8.76,41.01
8.47375,1.17,2.93,8.52,49.52
17.62533333,1.14,2.82,8.19,57.71
20.8027027,0.86,2.47,7.19,64.9
17.40942623,1.02,2.38,6.91,71.82
19.20891892,0.93,2.24,6.52,78.33
19.66514286,1.17,2.19,6.37,84.71
16.2865,0.69,1.91,5.54,90.25
,,,,
Group 29,,,,
Average similarity: 41.58,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
22.76894737,1.33,5.72,13.75,13.75
30.80365385,1.22,4.65,11.17,24.92
19.6197619,0.89,3.66,8.79,33.71
24.66947368,0.61,2.41,5.79,39.5
22.98714286,0.5,2.07,4.97,44.47
21.49942857,0.47,2.04,4.91,49.38
34.26230769,0.58,2.02,4.85,54.23
19.97269231,0.52,1.82,4.38,58.61
27.68736842,0.41,1.73,4.16,62.77
21.21238095,0.47,1.67,4.02,66.79
20.361875,0.36,1.43,3.44,70.22
13.7290678,0.32,1.3,3.13,73.35
22.55076923,0.37,1.28,3.07,76.42
20.45466667,0.36,1.18,2.83,79.25
23.07416667,0.31,1.15,2.77,82.01
14.05666667,0.28,1.06,2.54,84.55
19.20891892,0.3,1.04,2.5,87.05
16.2865,0.26,0.91,2.19,89.24
20.25794118,0.23,0.88,2.12,91.37
,,,,
Group 7,,,,
Average similarity: 16.31,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%, Cum.%
9.755306122,1.67,9.53,58.41,58.41
17.62533333,1.1,6.78,41.59,100
,,,,
Group 6,,,,
Average similarity: 18.35,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%, Cum.%
17.40942623,1.8,3.88,21.17,21.17
9.755306122,1.51,3.16,17.23,38.4
16.2865,0.9,2.99,16.29,54.68
19.66514286,0.89,2.9,15.81,70.49
13.79738095,1.1,2.86,15.59,86.08
22.55076923,0.87,2.55,13.92,100
,,,,
Group 23,,,,
Average similarity: 59.10,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
15.62272727,2.5,5.15,8.72,8.72
15.538,1.79,3.68,6.22,14.94
18.295,1.71,3.23,5.46,20.4
17.325,1.42,2.99,5.05,25.45
17.40942623,1.53,2.83,4.78,30.23
21.49942857,1.31,2.24,3.79,34.03
11.84727273,1.11,2.09,3.54,37.57
19.20891892,0.93,2.04,3.46,41.02
20.8027027,0.92,2.02,3.43,44.45
19.66514286,1.01,1.99,3.37,47.82
23.216,1.25,1.74,2.94,50.76
10.471875,0.82,1.69,2.86,53.62
16.2865,0.91,1.63,2.76,56.38
13.18133333,0.74,1.6,2.7,59.08
14.05666667,0.68,1.56,2.64,61.72
12.39733333,0.69,1.55,2.63,64.35
23.07416667,0.72,1.53,2.59,66.94
19.97269231,0.64,1.44,2.43,69.37
22.76894737,0.8,1.21,2.06,71.42
9.915,0.63,1.19,2.01,73.43
14.64409091,0.56,1.07,1.82,75.25
21.21238095,0.47,1.02,1.73,76.98
21.82333333,0.44,1,1.69,78.67
10.75428571,0.53,0.9,1.52,80.18
14.52461538,0.54,0.89,1.5,81.69
12.79166667,0.46,0.88,1.49,83.18
20.25794118,0.4,0.86,1.45,84.63
12.66740741,0.57,0.85,1.45,86.07
24.66947368,0.54,0.85,1.43,87.5
24.72,0.42,0.8,1.36,88.87
20.568,0.31,0.7,1.18,90.05
,,,,
Group 39,,,,
Average similarity: 53.81,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
37.56363636,1.77,4.92,9.15,9.15
38.5183871,1.74,4.78,8.88,18.02
33.63655172,1.66,4.48,8.33,26.36
37.0488,0.89,2.48,4.61,30.96
8.47375,1.43,2.48,4.61,35.57
19.6197619,1.06,2.36,4.38,39.95
30.80365385,0.9,2.26,4.2,44.15
20.361875,0.83,2.25,4.17,48.32
19.20891892,0.87,2.18,4.06,52.38
19.66514286,0.91,1.98,3.68,56.06
15.538,1.13,1.78,3.31,59.37
19.86137931,0.66,1.63,3.02,62.4
20.8027027,0.68,1.55,2.89,65.29
14.6988,0.6,1.41,2.63,67.91
20.84133333,0.65,1.38,2.57,70.49
17.62533333,0.71,1.31,2.44,72.93
15.20823529,0.58,1.28,2.38,75.31
16.2865,0.57,1.25,2.32,77.63
17.40942623,0.66,1.22,2.27,79.9
17.95647059,0.57,1.11,2.05,81.96
9.755306122,0.4,1.03,1.91,83.87
19.05166667,0.55,1,1.86,85.73
9.7,0.53,0.99,1.84,87.56
16.71571429,0.41,0.85,1.59,89.15
19.97269231,0.44,0.77,1.43,90.58
,,,,
Group 30,,,,
Average similarity: 42.93,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
30.80365385,1.39,5.14,11.97,11.97
37.0488,1.26,4.26,9.91,21.89
17.40942623,0.91,3.35,7.8,29.69
19.6197619,0.99,3.1,7.22,36.9
19.66514286,0.86,2.92,6.8,43.7
17.62533333,0.77,2.83,6.59,50.29
14.6988,0.8,2.79,6.51,56.8
16.2865,0.74,2.76,6.44,63.24
17.95647059,0.7,2.56,5.95,69.19
13.86416667,0.82,2.41,5.62,74.81
15.20823529,0.72,2.3,5.35,80.16
19.20891892,0.75,1.97,4.59,84.75
14.05666667,0.65,1.9,4.41,89.17
20.8027027,0.5,1.76,4.09,93.26
,,,,
Group 48,,,,
Average similarity: 29.89,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
30.80365385,1.75,4.64,15.53,15.53
22.76894737,0.94,3.68,12.31,27.84
17.40942623,0.84,2.25,7.53,35.36
19.86137931,0.7,2.24,7.49,42.86
21.21238095,0.55,2.13,7.13,49.98
13.7290678,0.59,2.09,7,56.98
21.49942857,0.53,1.9,6.35,63.33
20.361875,0.44,1.7,5.7,69.04
12.39733333,0.44,1.35,4.52,73.56
19.97269231,0.44,1.29,4.31,77.86
18.71884615,0.51,1.21,4.04,81.91
37.07363636,0.33,1.14,3.8,85.71
20.8027027,0.33,1.02,3.43,89.13
16.43,0.34,0.96,3.22,92.35
,,,,
Group 45,,,,
Average similarity: 37.83,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
30.80365385,2.67,7.32,19.34,19.34
19.05166667,1.35,3.83,10.13,29.47
33.63655172,1.21,3.39,8.96,38.43
9.755306122,1.01,2.73,7.21,45.64
20.361875,1.08,2.63,6.96,52.61
14.6988,0.86,2.02,5.34,57.94
10.22,1.01,1.96,5.19,63.13
22.98714286,0.59,1.66,4.4,67.53
12.66740741,0.6,1.59,4.2,71.73
28.035,0.48,1.11,2.92,74.66
13.7290678,0.47,0.99,2.62,77.28
20.25794118,0.33,0.93,2.45,79.73
16.2865,0.41,0.8,2.12,81.85
16.20714286,0.34,0.74,1.97,83.82
34.11,0.27,0.71,1.87,85.69
27.772,0.3,0.66,1.74,87.42
14.05666667,0.43,0.65,1.72,89.15
13.86416667,0.38,0.61,1.62,90.76
,,,,
Group 41,,,,
Average similarity: 35.91,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
30.80365385,1.6,9.11,25.36,25.36
22.76894737,0.97,5.52,15.38,40.74
19.6197619,0.79,4.72,13.14,53.88
13.79738095,0.75,4.02,11.21,65.09
17.40942623,0.7,3.6,10.01,75.1
13.7290678,0.53,2.85,7.93,83.03
14.6988,0.5,2.69,7.49,90.52
,,,,
Group 25,,,,
Average similarity: 37.85,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%, Cum.%
38.5183871,1.6,7.53,19.89,19.89
14.6988,1.31,7.12,18.81,38.7
17.62533333,1.1,6.5,17.18,55.88
13.7290678,1.27,6.26,16.54,72.43
37.56363636,1.47,5.9,15.59,88.01
16.2865,0.88,4.54,11.99,100
,,,,
Group 12,,,,
Average similarity: 32.64,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
38.5183871,2.01,6.03,18.47,18.47
9.755306122,1.55,5.36,16.41,34.88
17.40942623,0.94,3.01,9.23,44.11
19.66514286,0.95,2.85,8.74,52.85
14.6988,0.79,2.72,8.35,61.2
13.7290678,0.96,2.66,8.15,69.35
22.55076923,0.88,2.42,7.41,76.76
19.6197619,0.97,2.34,7.17,83.93
20.8027027,0.98,2.07,6.33,90.26
,,,,
Group 46,,,,
Average similarity: 49.35,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
15.62272727,1.62,3.65,7.39,7.39
20.361875,2.26,3.55,7.18,14.57
30.80365385,1.41,2.97,6.02,20.59
17.40942623,0.97,2.07,4.2,24.78
15.538,0.97,1.97,4,28.78
21.49942857,0.89,1.68,3.4,32.18
20.45466667,0.94,1.64,3.32,35.5
18.22411765,0.87,1.57,3.18,38.68
19.86137931,0.71,1.34,2.72,41.41
37.0488,0.84,1.24,2.51,43.91
21.21238095,0.65,1.2,2.43,46.34
23.51777778,1.16,1.18,2.39,48.73
14.05666667,0.6,1.16,2.35,51.08
22.76894737,0.74,1.16,2.35,53.43
20.25794118,0.48,1.07,2.17,55.6
23.07416667,0.52,1.06,2.15,57.74
24.66947368,0.52,1.05,2.14,59.88
22.59444444,0.53,1.03,2.08,61.96
22.98714286,0.53,0.92,1.87,63.83
9.693125,0.52,0.92,1.87,65.7
19.20891892,0.43,0.88,1.78,67.48
29.02866667,0.41,0.88,1.77,69.25
19.97269231,0.37,0.82,1.66,70.91
23.2525,1.11,0.82,1.65,72.56
16.2865,0.33,0.72,1.46,74.03
24.59083333,0.39,0.67,1.37,75.39
9.755306122,0.41,0.66,1.35,76.74
27.68736842,0.32,0.66,1.34,78.07
13.79738095,0.3,0.65,1.31,79.38
21.82333333,0.38,0.62,1.25,80.64
15.30333333,0.27,0.61,1.24,81.87
22.16,0.81,0.61,1.23,83.11
14.25,0.32,0.56,1.13,84.24
14.29833333,0.27,0.56,1.12,85.36
13.86416667,0.55,0.51,1.03,86.39
24.7775,0.24,0.51,1.03,87.42
24.26,0.27,0.49,0.99,88.41
24.325,0.25,0.48,0.97,89.39
13.18133333,0.27,0.47,0.96,90.35
,,,,
Group 10,,,,
Average similarity: 28.98,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%, Cum.%
33.63655172,2.29,9.28,32.01,32.01
38.5183871,2.23,8.91,30.76,62.77
14.6988,0.83,3.79,13.07,75.84
22.55076923,0.91,3.78,13.03,88.87
13.7290678,0.91,3.23,11.13,100
,,,,
Group 9,,,,
Average similarity: 44.85,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
21.49942857,1.5,5.45,12.15,12.15
9.693125,1.31,4.51,10.05,22.2
30.80365385,1.27,4.47,9.96,32.15
13.79738095,1.06,3.87,8.62,40.77
10.75428571,1,3.19,7.11,47.89
16.71571429,1.37,3.06,6.82,54.7
13.35666667,0.9,3.02,6.73,61.43
11.04931818,1.15,2.58,5.75,67.18
13.26172414,0.73,2.51,5.59,72.78
19.6197619,0.91,2.45,5.46,78.24
22.76894737,0.69,2.45,5.45,83.69
17.40942623,0.73,2.19,4.89,88.58
13.18133333,0.59,1.89,4.21,92.79
,,,,
Group 35,,,,
Average similarity: 55.57,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
8.904761905,1.68,5.52,9.94,9.94
17.40942623,1.56,4.41,7.94,17.88
13.79738095,1.48,4.3,7.74,25.62
9.755306122,1.11,4.13,7.43,33.05
19.66514286,0.97,3.8,6.83,39.89
13.7290678,0.96,3.77,6.79,46.68
14.6988,1.01,3.63,6.53,53.21
16.71571429,0.92,3.41,6.13,59.34
17.62533333,0.99,3.2,5.75,65.09
12.66740741,0.9,3.09,5.57,70.66
33.63655172,0.98,3.09,5.56,76.22
16.2865,0.88,3.08,5.54,81.75
20.8027027,0.76,3.03,5.45,87.21
19.20891892,0.94,2.68,4.82,92.03
,,,,
Group 18,,,,
Average similarity: 28.63,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%, Cum.%
13.79738095,1.86,11,38.43,38.43
19.66514286,1.56,8.99,31.4,69.83
17.40942623,1.68,8.64,30.17,100
,,,,
Group 26,,,,
Average similarity: 43.55,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
30.80365385,1.21,9.03,20.75,20.75
9.755306122,1.08,7.12,16.36,37.11
22.76894737,0.83,6.97,16,53.11
13.7290678,0.7,6.02,13.82,66.93
14.6988,0.77,5.4,12.4,79.33
9.693125,0.77,5.15,11.83,91.17
,,,,
Group 31,,,,
Average similarity: 58.21,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
30.80365385,1.12,3.15,5.41,5.41
14.6988,1.1,3.15,5.41,10.82
16.2865,1.3,3.1,5.33,16.15
9.755306122,0.96,2.69,4.62,20.76
15.20823529,1.12,2.64,4.54,25.31
20.8027027,1.05,2.59,4.44,29.75
8.516153846,0.96,2.54,4.37,34.12
17.40942623,1,2.47,4.24,38.37
16.71571429,0.88,2.38,4.09,42.45
13.79738095,0.79,2.27,3.9,46.35
13.26172414,0.89,2.24,3.85,50.2
19.20891892,0.87,2.21,3.79,53.99
19.66514286,0.78,2.14,3.68,57.67
13.7290678,0.76,1.99,3.41,61.09
12.66740741,0.68,1.88,3.24,64.32
19.6197619,0.75,1.86,3.2,67.52
13.86416667,0.81,1.85,3.18,70.71
15.11,0.7,1.82,3.12,73.83
16.97470588,0.69,1.81,3.11,76.94
15.375625,0.67,1.73,2.97,79.91
17.95647059,0.67,1.57,2.69,82.6
37.0488,0.85,1.38,2.38,84.98
22.59444444,0.52,1.36,2.34,87.32
13.12375,0.63,1.32,2.26,89.59
12.72882353,0.66,1.31,2.24,91.83
,,,,
Group 24,,,,
Average similarity: 48.79,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
20.8027027,1.33,3.71,7.61,7.61
8.061111111,1.68,3.49,7.16,14.77
19.20891892,1.17,3.33,6.81,21.58
19.66514286,1.05,2.96,6.07,27.65
21.12214286,1.09,2.9,5.95,33.6
12.39733333,0.82,2.34,4.8,38.4
30.80365385,1.04,2.34,4.79,43.19
16.2865,0.86,2.21,4.53,47.72
22.7275,0.86,2.19,4.48,52.21
18.22411765,0.77,2.06,4.23,56.44
19.97269231,0.72,2.01,4.12,60.55
22.76894737,0.72,1.81,3.72,64.27
21.49942857,0.99,1.8,3.68,67.95
13.7290678,0.65,1.76,3.6,71.55
12.66740741,0.62,1.69,3.46,75.01
19.86137931,0.69,1.64,3.36,78.37
27.68736842,0.83,1.55,3.17,81.55
13.79738095,1.07,1.49,3.05,84.6
20.568,0.51,1.44,2.94,87.54
18.71884615,0.69,1.43,2.93,90.47
,,,,
Group 27,,,,
Average similarity: 47.49,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
33.63655172,1.34,7.17,15.1,15.1
19.6197619,0.98,5.62,11.83,26.93
17.40942623,1.35,5.58,11.75,38.68
21.49942857,0.95,5.3,11.16,49.84
30.80365385,0.91,5.12,10.78,60.62
22.76894737,0.89,4.45,9.38,69.99
13.79738095,0.8,3.44,7.24,77.23
14.6988,0.51,2.97,6.25,83.48
20.25794118,0.74,2.92,6.14,89.62
13.7290678,0.46,2.66,5.61,95.23
,,,,
Group 43,,,,
Average similarity: 45.64,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
30.80365385,1.72,9.22,20.2,20.2
13.7290678,1.12,6.99,15.31,35.51
9.755306122,1.08,5.13,11.24,46.74
17.40942623,0.93,3.9,8.54,55.28
14.6988,0.81,3.59,7.88,63.16
13.18133333,0.75,3.16,6.92,70.08
13.26172414,0.55,3.03,6.63,76.71
19.6197619,0.68,2.97,6.52,83.23
29.02866667,0.91,2.83,6.19,89.42
13.79738095,0.91,2.62,5.73,95.15
,,,,
Group 3,,,,
Average similarity: 7.12,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%, Cum.%
11.04931818,1.56,7.12,100,100
,,,,
Group 8,,,,
Average similarity: 21.95,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%, Cum.%
8.904761905,2.61,21.95,100,100
,,,,
Group 20,,,,
All the similarities are zero,,,,
,,,,
Group 17,,,,
Average similarity: 29.58,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%, Cum.%
8.061111111,2.2,13.86,46.85,46.85
19.66514286,1.62,8.16,27.58,74.42
36.91333333,1.28,7.57,25.58,100
,,,,
Group 36,,,,
Average similarity: 12.76,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
19.6197619,0.75,2.04,16,16
19.66514286,0.86,1.9,14.89,30.89
19.20891892,0.99,1.79,14,44.89
20.8027027,0.73,1.52,11.94,56.83
17.40942623,0.75,1.24,9.71,66.54
16.2865,0.65,0.87,6.83,73.37
19.05166667,0.54,0.83,6.53,79.9
17.95647059,0.67,0.76,5.99,85.89
15.20823529,0.54,0.67,5.21,91.1
,,,,
Group 19,,,,
Average similarity: 32.80,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
20.8027027,1.15,2.88,8.77,8.77
19.20891892,0.98,2.65,8.08,16.85
30.80365385,1.25,2.65,8.07,24.92
19.66514286,0.89,2.44,7.43,32.35
22.7275,0.82,2.32,7.07,39.41
17.40942623,0.86,2.18,6.65,46.06
27.68736842,0.65,1.92,5.84,51.9
12.39733333,0.62,1.9,5.8,57.7
20.361875,0.72,1.73,5.27,62.97
13.7290678,0.66,1.66,5.07,68.05
22.76894737,0.65,1.63,4.96,73.01
18.22411765,0.65,1.44,4.38,77.39
16.2865,0.66,1.43,4.36,81.75
19.97269231,0.5,1.29,3.94,85.69
19.86137931,0.49,1.24,3.78,89.47
18.71884615,0.56,1.1,3.36,92.83
,,,,
Group 38,,,,
Average similarity: 60.15,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
21.12214286,1.24,4.37,7.26,7.26
20.8027027,1.31,4.24,7.04,14.31
19.20891892,1.1,3.82,6.35,20.66
19.66514286,1.11,3.75,6.23,26.89
17.40942623,1.03,3.58,5.95,32.84
30.80365385,1.03,3.53,5.87,38.71
14.6988,1.05,3.43,5.7,44.41
16.2865,0.85,2.97,4.93,49.34
9.693125,0.94,2.8,4.66,54
9.755306122,0.81,2.8,4.65,58.65
19.05166667,0.86,2.76,4.58,63.23
22.55076923,0.89,2.71,4.51,67.74
17.95647059,0.89,2.62,4.36,72.1
15.20823529,0.85,2.6,4.33,76.43
13.7290678,0.73,2.41,4,80.44
15.375625,0.63,2.25,3.74,84.18
20.568,0.83,2.13,3.54,87.72
19.6197619,0.81,2.09,3.47,91.18
,,,,
Group 4,,,,
Average similarity: 17.66,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%, Cum.%
8.904761905,1.78,17.66,100,100
,,,,
Group 2,,,,
Average similarity: 4.59,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%, Cum.%
22.76894737,1.46,4.59,100,100
,,,,
Group 21,,,,
Average similarity: 40.87,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
17.40942623,2.54,9.28,22.71,22.71
9.755306122,1.03,3.93,9.61,32.32
19.20891892,0.71,2.78,6.8,39.12
13.7290678,0.85,2.73,6.69,45.81
17.62533333,0.88,2.72,6.66,52.47
20.84133333,0.68,2.72,6.65,59.12
20.25794118,1.48,2.67,6.53,65.65
14.6988,0.85,2.61,6.38,72.03
17.95647059,0.73,2.25,5.52,77.55
19.66514286,0.79,2.21,5.41,82.96
21.12214286,0.76,2.1,5.15,88.11
19.6197619,0.69,2.06,5.03,93.14
,,,,
Group 28,,,,
Average similarity: 32.77,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
22.76894737,1.23,6.78,20.69,20.69
38.5183871,1.48,6.38,19.46,40.14
19.6197619,0.97,3.91,11.93,52.07
21.12214286,0.87,3.86,11.79,63.85
30.80365385,0.66,3.51,10.69,74.55
9.755306122,0.73,2.71,8.28,82.83
20.361875,0.47,2.27,6.91,89.75
36.94125,0.36,2.01,6.12,95.87
,,,,
Group 5,,,,
Average similarity: 50.17,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
30.80365385,1.59,8.89,17.73,17.73
19.6197619,1.01,6.53,13.02,30.75
22.76894737,0.98,5.54,11.05,41.79
13.7290678,0.79,5.01,9.98,51.77
21.49942857,0.75,4.4,8.77,60.54
37.00818182,1.12,4.37,8.71,69.25
21.12214286,0.69,4.36,8.68,77.93
10.471875,0.64,4.09,8.16,86.09
22.55076923,0.63,3.61,7.2,93.29
,,,,
Group 40,,,,
Average similarity: 30.33,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
20.361875,2.81,13.22,43.59,43.59
30.80365385,1.17,4.65,15.32,58.91
22.76894737,0.74,3.74,12.34,71.25
18.71884615,0.41,2.02,6.66,77.91
19.6197619,0.46,1.83,6.05,83.96
21.12214286,0.58,1.79,5.9,89.86
18.22411765,0.53,1.62,5.35,95.21
,,,,
Group 15,,,,
Average similarity: 6.60,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%, Cum.%
22.76894737,0.9,6.6,100,100
,,,,
Group 33,,,,
Average similarity: 57.84,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
20.8027027,1.61,4.57,7.9,7.9
19.66514286,1.27,3.85,6.66,14.56
19.20891892,1.29,3.8,6.56,21.13
17.40942623,1.32,3.63,6.27,27.4
14.6988,1.15,3.5,6.05,33.45
16.2865,1.04,2.9,5.01,38.46
22.7275,1,2.85,4.93,43.39
30.80365385,1.39,2.53,4.37,47.76
27.68736842,0.85,2.43,4.2,51.96
23.036,0.82,2.39,4.13,56.09
19.97269231,0.84,2.34,4.04,60.13
22.76894737,0.76,2.16,3.74,63.87
18.71884615,0.84,2.06,3.57,67.43
18.22411765,0.79,1.86,3.21,70.64
20.361875,0.66,1.83,3.16,73.79
22.98714286,0.59,1.68,2.9,76.7
20.568,0.68,1.58,2.74,79.43
20.25794118,0.53,1.49,2.58,82.02
28.00727273,0.55,1.37,2.36,84.38
29.02866667,0.47,1.24,2.14,86.52
13.7290678,0.55,1.23,2.13,88.65
21.21238095,0.47,1.14,1.98,90.62
,,,,
Group 37,,,,
Average similarity: 52.23,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
9.755306122,1.17,7.27,13.92,13.92
30.80365385,1.37,7.01,13.42,27.34
22.76894737,0.98,6.83,13.08,40.42
19.6197619,0.9,5.54,10.6,51.01
33.63655172,0.8,4.04,7.74,58.75
21.12214286,0.69,3.74,7.17,65.92
21.21238095,0.5,3.58,6.85,72.77
18.71884615,0.44,3.07,5.88,78.66
21.49942857,0.51,3.05,5.85,84.51
19.97269231,0.37,2.33,4.46,88.96
13.7290678,0.5,2.16,4.13,93.1
,,,,
Group 14,,,,
All the similarities are zero,,,,
,,,,
Group 47,,,,
Average similarity: 40.43,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
13.79738095,2.62,9.47,23.43,23.43
17.40942623,2.08,7.68,18.99,42.42
13.7290678,1.45,6.92,17.12,59.54
30.80365385,1.52,6.47,16.01,75.55
20.25794118,1.34,6.16,15.25,90.79
